#mpa_vJan25_CHOCOPhlAnSGB_202503
#/Users/chnqwe/miniforge3/envs/hostmap/bin/metaphlan /Users/chnqwe/Science/GSE255073/hostmap/unmapped_relaxed_pos/SRR28476475.any_unmapped_SE.fastq.gz --input_type fastq --db_dir /Users/chnqwe/Science/BioTools/metaphlan_db --nproc 8 --read_min_len 50 --mapout /Users/chnqwe/Science/GSE255073/MetaPhlAn_profiles/metaphlan/relaxed/pos/SRR28476475.metaphlan_map.bz2 -o /Users/chnqwe/Science/GSE255073/MetaPhlAn_profiles/metaphlan/relaxed/pos/SRR28476475.profile.txt
#41379608 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	97.3292352	
k__Bacteria	2	2.668542	
k__Eukaryota	2759	0.0022228	
k__Bacteria|p__Actinomycetota	2|201174	2.4398861	
k__Bacteria|p__Firmicutes	2|1239	0.2054409	
k__Bacteria|p__Pseudomonadota	2|1224	0.0232149	
k__Eukaryota|p__Basidiomycota	2759|5204	0.0022228	
k__Bacteria|p__Actinomycetota|c__Actinomycetes	2|201174|1760	2.4398861	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.2054409	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria	2|1224|28211	0.0130586	
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	2|1224|1236	0.0070549	
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	2|1224|28216	0.0028954	
k__Eukaryota|p__Basidiomycota|c__Malasseziomycetes	2759|5204|1538075	0.0022228	
k__Bacteria|p__Pseudomonadota|c__Hydrogenophilia	2|1224|2008785	0.000206	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	2|201174|1760|85009	1.6488672	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	2|201174|1760|85007	0.5465939	
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	2|201174|1760|85006	0.244425	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.1922705	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.0131704	
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.0130586	
