clade_name	last_taxon_clean	k	p	c	o	f	g	s	mean_abund_neg	mean_abund_pos	median_abund_neg	median_abund_pos	prevalence_neg	prevalence_pos
k__Archaea	Archaea	k__Archaea	NA	NA	NA	NA	NA	NA	0.0013374	NA	0.0013374	NA	1	NA
k__Archaea|p__Nitrososphaerota	Nitrososphaerota	k__Archaea	p__Nitrososphaerota	NA	NA	NA	NA	NA	0.0013374	NA	0.0013374	NA	1	NA
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria	Nitrososphaeria	k__Archaea	p__Nitrososphaerota	c__Nitrososphaeria	NA	NA	NA	NA	0.0013374	NA	0.0013374	NA	1	NA
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales	Nitrososphaerales	k__Archaea	p__Nitrososphaerota	c__Nitrososphaeria	o__Nitrososphaerales	NA	NA	NA	0.0013374	NA	0.0013374	NA	1	NA
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified	Nitrososphaerales_unclassified	k__Archaea	p__Nitrososphaerota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaerales_unclassified	NA	NA	0.0013374	NA	0.0013374	NA	1	NA
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__GGB53655	GGB53655	k__Archaea	p__Nitrososphaerota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaerales_unclassified	g__GGB53655	NA	0.0013374	NA	0.0013374	NA	1	NA
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__GGB53655|s__GGB53655_SGB74787	GGB53655_SGB74787	k__Archaea	p__Nitrososphaerota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaerales_unclassified	g__GGB53655	s__GGB53655_SGB74787	0.0013374	NA	0.0013374	NA	1	NA
k__Archaea|p__Nitrososphaerota|c__Nitrososphaeria|o__Nitrososphaerales|f__Nitrososphaerales_unclassified|g__GGB53655|s__GGB53655_SGB74787|t__SGB74787	GGB53655_SGB74787	k__Archaea	p__Nitrososphaerota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaerales_unclassified	g__GGB53655	s__GGB53655_SGB74787	0.0013374	NA	0.0013374	NA	1	NA
k__Bacteria	Bacteria	k__Bacteria	NA	NA	NA	NA	NA	NA	1.3199807333333333	1.0417392066666666	1.200058	0.8831003	1	1
k__Bacteria|p__Actinomycetota	Actinomycetota	k__Bacteria	p__Actinomycetota	NA	NA	NA	NA	NA	1.099015638095238	0.8918946966666667	0.7817286	0.8005728	1	1
