s	last_taxon_clean	mean_abund_pos	mean_abund_neg	median_abund_pos	median_abund_neg	prevalence_pos	prevalence_neg	total_mean	diff_mean
s__Cutibacterium_acnes	Cutibacterium_acnes	0.6844498666666666	0.7470881714285714	0.5642334	0.5549892	1	1	1.431538038095238	-0.0626383047619048
s__GGB42949_SGB60172	GGB42949_SGB60172	0.845713	NA	0.845713	NA	1	NA	0.845713	0.845713
s__Corynebacterium_SGB17002	Corynebacterium_SGB17002	0.14965470952380952	0.28052000555555556	0.1185134	0.13804795	1	1	0.4301747150793651	-0.13086529603174604
s__GGB75387_SGB36810	GGB75387_SGB36810	NA	0.3605937	NA	0.3605937	NA	1	0.3605937	-0.3605937
s__Brevibacterium_ravenspurgense	Brevibacterium_ravenspurgense	0.2611905	NA	0.2611905	NA	1	NA	0.2611905	0.2611905
s__Bradyrhizobium_SGB11337	Bradyrhizobium_SGB11337	0.11315694	0.12839576666666666	0.0678013	0.1757026	1	1	0.24155270666666667	-0.015238826666666663
s__Streptococcus_thermophilus	Streptococcus_thermophilus	0.1743555	0.035716285714285714	0.1743555	0.0164943	1	1	0.2100717857142857	0.1386392142857143
s__Rhodopseudomonas_palustris	Rhodopseudomonas_palustris	0.053379666666666666	0.14146857499999999	0.0195231	0.009613400000000001	1	1	0.19484824166666664	-0.08808890833333333
s__Pseudomonas_aeruginosa	Pseudomonas_aeruginosa	0.09036835384615384	0.09517507368421052	0.009533650000000001	0.014938	1	1	0.18554342753036435	-0.004806719838056681
s__Pseudomonas_juntendi	Pseudomonas_juntendi	0.0329605	0.1384548	0.0329605	0.1384548	1	1	0.1714153	-0.10549429999999999
s__Stutzerimonas_stutzeri	Stutzerimonas_stutzeri	NA	0.114751	NA	0.114751	NA	1	0.114751	-0.114751
s__Tepidiphilus_succinatimandens	Tepidiphilus_succinatimandens	0.0070384	0.0927058	0.0070384	0.0927058	1	1	0.0997442	-0.0856674
s__Kocuria_rhizophila	Kocuria_rhizophila	0.02569678181818182	0.0717717	0.007054	0.0158289	1	1	0.09746848181818181	-0.04607491818181818
s__Corynebacterium_tuberculostearicum	Corynebacterium_tuberculostearicum	0.056698233333333334	0.037369150000000004	0.03923	0.037369150000000004	1	1	0.09406738333333334	0.01932908333333333
s__Caldibacillus_debilis	Caldibacillus_debilis	0.0791114	NA	0.0791114	NA	1	NA	0.0791114	0.0791114
s__Brevibacterium_yomogidense	Brevibacterium_yomogidense	0.0733605	NA	0.0733605	NA	1	NA	0.0733605	0.0733605
s__Corynebacterium_evansiae	Corynebacterium_evansiae	0.0655541	NA	0.0655541	NA	1	NA	0.0655541	0.0655541
s__Klebsiella_pneumoniae	Klebsiella_pneumoniae	NA	0.0639888	NA	0.0639888	NA	1	0.0639888	-0.0639888
s__GGB2722_SGB3663	GGB2722_SGB3663	0.0336244875	0.029626361538461536	0.015134350000000001	0.0092617	1	1	0.06325084903846154	0.003998125961538465
s__Salinicoccus_sp_YB14_2	Salinicoccus_sp_YB14_2	0.0602839	NA	0.0602839	NA	1	NA	0.0602839	0.0602839
s__Cutibacterium_namnetense	Cutibacterium_namnetense	0.0272238	0.0306324	0.0061178	0.03344875	1	1	0.057856199999999997	-0.003408600000000001
s__Corynebacterium_propinquum	Corynebacterium_propinquum	0.02272028	0.03460228	0.02039155	0.0258824	1	1	0.057322559999999995	-0.011882
s__Psychrobacter_faecalis	Psychrobacter_faecalis	0.03397295	0.0214541	0.03397295	0.0214541	1	1	0.055427050000000005	0.012518850000000002
s__Dolosigranulum_pigrum	Dolosigranulum_pigrum	0.014268488888888889	0.03668551666666667	0.0125928	0.03014165	1	1	0.05095400555555556	-0.02241702777777778
s__Moraxella_osloensis	Moraxella_osloensis	0.029317825	0.01997621111111111	0.01635545	0.0037564	1	1	0.049294036111111106	0.009341613888888888
s__Geobacillus_stearothermophilus	Geobacillus_stearothermophilus	0.0483342	NA	0.0483342	NA	1	NA	0.0483342	0.0483342
s__Staphylococcus_pasteuri	Staphylococcus_pasteuri	0.0226533	0.02153685	0.0226533	0.0105428	1	1	0.04419015	0.0011164500000000015
s__Mycobacterium_gordonae	Mycobacterium_gordonae	0.0109328	0.0327312	0.0109328	0.0327312	1	1	0.043664	-0.021798400000000002
s__Staphylococcus_epidermidis	Staphylococcus_epidermidis	0.0303617	0.011142783333333333	0.0303617	0.0079111	1	1	0.04150448333333333	0.019218916666666665
