sample	tb_group	mode	total_reads	mtb_reads	mtb_pct	mtb_log10
SRR28476453	pos	relaxed	45918771	182	3.9635207135661364e-4	-3.4019079106666608
SRR28476453	pos	strict	19796626	180	9.092458482571727e-4	-3.041313896918672
SRR28476454	pos	relaxed	47876221	92	1.921622009389588e-4	-3.716309435876583
SRR28476454	pos	strict	16691756	124	7.428816956106955e-4	-3.1290744963701203
SRR28476455	pos	relaxed	50350263	80	1.5888695556565415e-4	-3.7988844237095694
SRR28476455	pos	strict	21922789	95	4.333390245191887e-4	-3.3631621767080837
SRR28476456	pos	relaxed	39052072	113	2.893572458844181e-4	-3.538550629183471
SRR28476456	pos	strict	14197658	139	9.790347112178643e-4	-3.0091974742930807
SRR28476457	pos	relaxed	33185636	36	1.0848066916662378e-4	-3.9646076120800036
SRR28476457	pos	strict	8360623	47	5.62159063983629e-4	-3.250133057182628
SRR28476458	pos	relaxed	47972227	146	3.043427606560771e-4	-3.516622754590246
SRR28476458	pos	strict	21481272	136	6.331096221862467e-4	-3.1985142262429407
SRR28476459	neg	relaxed	37050536	107	2.8879474240264705e-4	-3.5393956795844264
SRR28476459	neg	strict	14454823	110	7.609916773107495e-4	-3.1186143860073505
SRR28476460	neg	relaxed	58018504	231	3.9814883886009887e-4	-3.3999436387834905
SRR28476460	neg	strict	27695335	273	9.857255743611695e-4	-3.0062395698430566
SRR28476461	neg	relaxed	32283072	67	2.075391090414196e-4	-3.6828791266035807
SRR28476461	neg	strict	11826028	91	7.694891302472816e-4	-3.1137918667084215
SRR28476462	pos	relaxed	36888879	57	1.545181137111811e-4	-3.810992496699346
SRR28476462	pos	strict	10740150	60	5.58651415483024e-4	-3.2528513225927034
SRR28476463	pos	relaxed	54629000	286	5.235314576506983e-4	-3.2810489221684467
SRR28476463	pos	strict	23813806	309	0.001297566630046453	-2.8868669849063973
SRR28476464	pos	relaxed	40995621	101	2.463677766949792e-4	-3.608398468155374
SRR28476464	pos	strict	14077541	113	8.026970051090599e-4	-3.0954429469809512
SRR28476465	pos	relaxed	40557074	142	3.501238772797071e-4	-3.4557658669446227
SRR28476465	pos	strict	14600527	149	0.0010205111089483278	-2.991178007699538
SRR28476466	neg	relaxed	40840166	215	5.264425222953306e-4	-3.2786407892171296
SRR28476466	neg	strict	16622464	212	0.0012753825185002658	-2.894356134928802
SRR28476467	neg	relaxed	31967086	138	4.3169402428485347e-4	-3.364813902892124
SRR28476467	neg	strict	11330856	133	0.0011737859875723424	-2.9304073793838437
SRR28476468	pos	relaxed	48669840	184	3.780575403576424e-4	-3.4224306081405222
SRR28476468	pos	strict	17509131	197	0.0011251272264740037	-2.9487945059384404
SRR28476469	neg	relaxed	57140806	78	1.3650489984337987e-4	-3.8648199452047947
SRR28476469	neg	strict	27288613	88	3.2247883027253894e-4	-3.491485322997732
SRR28476470	pos	relaxed	62477361	19	3.0411015599714592e-5	-4.51682629120382
SRR28476470	pos	strict	29589334	44	1.4870223168929724e-4	-3.827653308971685
SRR28476471	neg	relaxed	27656647	41	1.482464595220093e-4	-3.8289863753758455
SRR28476471	neg	strict	11382134	47	4.129278393665019e-4	-3.384115318929336
SRR28476472	pos	relaxed	17806333	44	2.471030952863793e-4	-3.6071042393817354
SRR28476472	pos	strict	6600670	56	8.483987231599217e-4	-3.0713948748080657
SRR28476473	pos	relaxed	47769994	34	7.117438616383331e-5	-4.147615255612004
SRR28476473	pos	strict	21352802	91	4.261735766575272e-4	-3.3704032902023853
SRR28476475	pos	relaxed	41379608	152	3.673306910012294e-4	-3.434930961394734
SRR28476475	pos	strict	16459257	185	0.001123987553022594	-2.949234634238436
SRR28476476	pos	relaxed	35823263	90	2.5123339546149104e-4	-3.599905345899136
SRR28476476	pos	strict	12325997	134	0.0010871331544215043	-2.963713264486101
SRR28476479	neg	relaxed	48343514	141	2.916627037082989e-4	-3.5351042125771177
SRR28476479	neg	strict	20204021	182	9.008107841503431e-4	-3.045361602135632
SRR28476481	neg	relaxed	46918599	124	2.642875163429326e-4	-3.5779069180019536
SRR28476481	neg	strict	20176453	186	9.21866692822569e-4	-3.035327164855288
SRR28476482	pos	relaxed	37376207	11	2.9430487689668456e-5	-4.531055000068995
SRR28476482	pos	strict	4204723	25	5.945694876927683e-4	-3.225790077531862
SRR28476484	pos	relaxed	50813446	75	1.4759872810043233e-4	-3.830887961931778
SRR28476484	pos	strict	12266882	139	0.0011331322825148232	-2.9457155547161067
SRR28476485	neg	relaxed	42196840	75	1.7773842780644238e-4	-3.7501942319371904
SRR28476485	neg	strict	17705279	88	4.970269036709334e-4	-3.3036113648569088
SRR28476486	pos	relaxed	64089903	91	1.4198804451303351e-4	-3.8477176363426238
SRR28476486	pos	strict	27237044	120	4.40576444345429e-4	-3.3559688690475835
SRR28476487	pos	relaxed	19690614	18	9.141411232783295e-5	-4.038939247703021
SRR28476487	pos	strict	6905203	15	2.1722750221825484e-4	-3.6630651993385577
SRR28476489	pos	relaxed	58936602	141	2.392401244985247e-4	-3.621147827557354
SRR28476489	pos	strict	25437841	185	7.272629780176707e-4	-3.1383025484327325
SRR28476490	neg	relaxed	50747814	173	3.409013834566352e-4	-3.467358496894132
SRR28476490	neg	strict	20435595	205	0.0010031516087493416	-2.998629096755935
SRR28476491	neg	relaxed	66225542	332	5.013171504130536e-4	-3.299878774630365
SRR28476491	neg	strict	29789136	367	0.0012319927640734528	-2.909388317804303
SRR28476492	pos	relaxed	30461457	102	3.348493803169034e-4	-3.4751375307943695
SRR28476492	pos	strict	11121320	107	9.621160078120224e-4	-3.0167680455155135
SRR28476493	pos	relaxed	42180485	101	2.394472230463922e-4	-3.620772058258548
SRR28476493	pos	strict	16218964	151	9.310089103101776e-4	-3.0310414977942153
SRR28476494	neg	relaxed	39487006	210	5.318205183750827e-4	-3.2742267448878524
SRR28476494	neg	strict	16391554	239	0.0014580679781794942	-2.836219249277659
SRR28476495	neg	relaxed	41423231	211	5.093760069078146e-4	-3.2929529894984166
SRR28476495	neg	strict	16336639	258	0.0015792722113771383	-2.80154025638029
SRR28476496	pos	relaxed	22812930	63	2.761591781502858e-4	-3.55882479247058
SRR28476496	pos	strict	9402782	66	7.019199211467414e-4	-3.153706244534705
SRR28476497	neg	relaxed	31858507	142	4.4572082426838145e-4	-3.3509273314808476
SRR28476497	neg	strict	11699106	130	0.0011111960178837596	-2.95420541528463
SRR28476498	neg	relaxed	65135545	137	2.1033062669545484e-4	-3.677076836464393
SRR28476498	neg	strict	29022448	200	6.891217446577904e-4	-3.1616977439727485
SRR28476499	pos	relaxed	74323822	283	3.8076620978937277e-4	-3.419330193375675
SRR28476499	pos	strict	31372280	288	9.180078719175017e-4	-3.037148863897233
SRR28476500	pos	relaxed	23120569	83	3.589877048441152e-4	-3.4449083279585113
SRR28476500	pos	strict	7404412	89	0.001201986059122588	-2.9200969562135786
SRR28476501	neg	relaxed	68709528	169	2.4596297619742055e-4	-3.609112604006458
SRR28476501	neg	strict	32614491	288	8.830430620548394e-4	-3.054013199179809
SRR28476502	neg	relaxed	66956136	121	1.807153268223244e-4	-3.742980981205402
SRR28476502	neg	strict	28786077	192	6.669891142165708e-4	-3.175874742831743
SRR28476504	neg	relaxed	77976793	65	8.335813451573983e-5	-4.078999916370119
SRR28476504	neg	strict	36414672	98	2.691222922452796e-4	-3.5700341896292835
SRR28476505	pos	relaxed	74353846	63	8.472998155334157e-5	-4.071911634874596
SRR28476505	pos	strict	33455581	71	2.1222169180083885e-4	-3.673189763947675
SRR28476506	neg	relaxed	53200501	239	4.4924388963930997e-4	-3.3475081540819245
SRR28476506	neg	strict	23104145	320	0.0013850328588225185	-2.8585367875655026
SRR28476507	neg	relaxed	53259938	114	2.140445600969344e-4	-3.669475515767815
SRR28476507	neg	strict	22037941	162	7.350958966629414e-4	-3.1336500935367457
SRR28476508	pos	relaxed	82326065	103	1.251122594041146e-4	-3.9026654219098678
SRR28476508	pos	strict	39198810	132	3.367449164910874e-4	-3.472686055027804
SRR28476510	pos	relaxed	39749590	173	4.352246148953989e-4	-3.3612765718111492
SRR28476510	pos	strict	16697880	251	0.0015031848354401876	-2.8229847250201447
SRR28476511	pos	relaxed	57023256	148	2.5954322916951636e-4	-3.5857735635804384
SRR28476511	pos	strict	23262528	155	6.663076343207411e-4	-3.1763186928299474
