sample	tb_group	mode	taxid	name	rank_code	pct	clade_reads	taxon_reads
SRR28476459	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	29791	0
SRR28476459	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	270	107
SRR28476460	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	3913	0
SRR28476460	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	330	231
SRR28476461	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	6633	0
SRR28476461	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	89	67
SRR28476466	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	3536	0
SRR28476466	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	227	215
SRR28476467	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	2129	0
SRR28476467	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	146	138
SRR28476469	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	1141	0
SRR28476469	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	95	78
SRR28476471	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	157	0
SRR28476471	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	83	41
SRR28476479	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	2769	0
SRR28476479	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	199	141
SRR28476481	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	3618	0
SRR28476481	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	173	124
SRR28476485	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	1362	0
SRR28476485	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	126	75
SRR28476490	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	14658	0
SRR28476490	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	261	173
SRR28476491	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	7208	11
SRR28476491	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	385	332
SRR28476494	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	2893	0
SRR28476494	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	227	210
SRR28476495	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	2632	0
SRR28476495	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	230	211
SRR28476497	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	3464	0
SRR28476497	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	172	142
SRR28476498	neg	relaxed	77643	Mycobacterium tuberculosis complex	G1	NA	18240	0
SRR28476498	neg	relaxed	1773	Mycobacterium tuberculosis	S	NA	195	137
