sample	tb_group	mode	unclassified_reads	classified_reads	total_reads	unclassified_pct	classified_pct
SRR28476453	pos	relaxed	41886088	4032683	45918771	91.21778977926043	8.782210220739575
SRR28476453	pos	strict	15237416	4559210	19796626	76.9697624231523	23.030237576847693
SRR28476454	pos	relaxed	41442254	6433967	47876221	86.56124717947141	13.438752820528588
SRR28476454	pos	strict	13209928	3481828	16691756	79.14043315754196	20.859566842458037
SRR28476455	pos	relaxed	46110952	4239311	50350263	91.58035976892513	8.41964023107486
SRR28476455	pos	strict	17067833	4854956	21922789	77.85429581975177	22.145704180248234
SRR28476456	pos	relaxed	36104113	2947959	39052072	92.45120975911342	7.548790240886579
SRR28476456	pos	strict	11538085	2659573	14197658	81.26752313656239	18.73247686343762
SRR28476457	pos	relaxed	30844248	2341388	33185636	92.9445739717027	7.055426028297303
SRR28476457	pos	strict	6813038	1547585	8360623	81.48959712691267	18.51040287308733
SRR28476458	pos	relaxed	44459900	3512327	47972227	92.67841578419947	7.32158421580053
SRR28476458	pos	strict	17022485	4458787	21481272	79.24337534574303	20.756624654256974
SRR28476459	neg	relaxed	34045202	3005334	37050536	91.88855459472975	8.111445405270251
SRR28476459	neg	strict	11336186	3118637	14454823	78.4249381676967	21.57506183230331
SRR28476460	neg	relaxed	50692658	7325846	58018504	87.37325940013896	12.626740599861037
SRR28476460	neg	strict	18963217	8732118	27695335	68.47079842146701	31.52920157853299
SRR28476461	neg	relaxed	29750682	2532390	32283072	92.15567217394924	7.844327826050755
SRR28476461	neg	strict	9442974	2383054	11826028	79.84907527700763	20.150924722992368
SRR28476462	pos	relaxed	31976038	4912841	36888879	86.6820539599482	13.3179460400518
SRR28476462	pos	strict	8863714	1876436	10740150	82.52877287561161	17.471227124388392
SRR28476463	pos	relaxed	49473546	5155454	54629000	90.5627889948562	9.437211005143789
SRR28476463	pos	strict	17746634	6067172	23813806	74.52245978656246	25.477540213437532
SRR28476464	pos	relaxed	37691139	3304482	40995621	91.93942689635071	8.06057310364929
SRR28476464	pos	strict	10962358	3115183	14077541	77.87125606666676	22.128743933333244
SRR28476465	pos	relaxed	36699099	3857975	40557074	90.48754108839312	9.512458911606888
SRR28476465	pos	strict	11250829	3349698	14600527	77.05769113676513	22.942308863234867
SRR28476466	neg	relaxed	37696670	3143496	40840166	92.30293040434752	7.697069595652476
SRR28476466	neg	strict	13049261	3573203	16622464	78.50377056012876	21.49622943987125
SRR28476467	neg	relaxed	29555940	2411146	31967086	92.45741072551937	7.542589274480633
SRR28476467	neg	strict	8941636	2389220	11330856	78.91403791558201	21.085962084417982
SRR28476468	pos	relaxed	44368375	4301465	48669840	91.16194957698649	8.838050423013513
SRR28476468	pos	strict	12899544	4609587	17509131	73.67323940862627	26.326760591373723
SRR28476469	neg	relaxed	54034661	3106145	57140806	94.56405112661518	5.4359488733848105
SRR28476469	neg	strict	23532927	3755686	27288613	86.23716786192101	13.762832138078986
SRR28476470	pos	relaxed	61042197	1435164	62477361	97.70290553725533	2.297094462744673
SRR28476470	pos	strict	27978737	1610597	29589334	94.55683253972529	5.443167460274705
SRR28476471	neg	relaxed	25282551	2374096	27656647	91.4158213032838	8.584178696716199
SRR28476471	neg	strict	8632111	2750023	11382134	75.83912647663435	24.160873523365655
SRR28476472	pos	relaxed	16243610	1562723	17806333	91.22377976419962	8.776220235800375
SRR28476472	pos	strict	4942432	1658238	6600670	74.87773210901318	25.122267890986823
SRR28476473	pos	relaxed	46053592	1716402	47769994	96.40694533057719	3.593054669422818
SRR28476473	pos	strict	19394518	1958284	21352802	90.82891322647023	9.171086773529769
SRR28476475	pos	relaxed	37800912	3578696	41379608	91.35154687787279	8.648453122127208
SRR28476475	pos	strict	12602414	3856843	16459257	76.56733229209557	23.432667707904432
SRR28476476	pos	relaxed	32885128	2938135	35823263	91.79824852917503	8.201751470824977
SRR28476476	pos	strict	9693746	2632251	12325997	78.64472139657343	21.355278603426562
SRR28476479	neg	relaxed	43656859	4686655	48343514	90.30551440675166	9.694485593248352
SRR28476479	neg	strict	14758628	5445393	20204021	73.04797396518248	26.952026034817525
SRR28476481	neg	relaxed	42338591	4580008	46918599	90.23839565200998	9.761604347990016
SRR28476481	neg	strict	15064321	5112132	20176453	74.66288053702998	25.337119462970026
SRR28476482	pos	relaxed	34514686	2861521	37376207	92.34400376688838	7.655996233111615
SRR28476482	pos	strict	3485601	719122	4204723	82.89728003485604	17.102719965143958
SRR28476484	pos	relaxed	46675227	4138219	50813446	91.85605518665277	8.14394481334724
SRR28476484	pos	strict	9597463	2669419	12266882	78.23881406864434	21.761185931355662
SRR28476485	neg	relaxed	39270393	2926447	42196840	93.06477214881494	6.935227851185065
SRR28476485	neg	strict	14403732	3301547	17705279	81.35275360529478	18.647246394705217
SRR28476486	pos	relaxed	60840031	3249872	64089903	94.92919812969603	5.07080187030397
SRR28476486	pos	strict	23663901	3573143	27237044	86.881311349352	13.118688650647993
SRR28476487	pos	relaxed	18280522	1410092	19690614	92.83876063996786	7.161239360032146
SRR28476487	pos	strict	5526274	1378929	6905203	80.03057983957893	19.969420160421063
SRR28476489	pos	relaxed	53970570	4966032	58936602	91.5739424543003	8.426057545699699
SRR28476489	pos	strict	18946051	6491790	25437841	74.47979174018738	25.520208259812616
SRR28476490	neg	relaxed	45966705	4781109	50747814	90.57868975400595	9.421310245994045
SRR28476490	neg	strict	15261614	5173981	20435595	74.68152505469011	25.318474945309887
SRR28476491	neg	relaxed	59865064	6360478	66225542	90.39573281257555	9.604267187424453
SRR28476491	neg	strict	21997203	7791933	29789136	73.84303794510858	26.15696205489142
SRR28476492	pos	relaxed	28150343	2311114	30461457	92.41298930645372	7.587010693546274
SRR28476492	pos	strict	8827893	2293427	11121320	79.37810439767941	20.62189560232059
SRR28476493	pos	relaxed	38414071	3766414	42180485	91.07071907779154	8.929280922208457
SRR28476493	pos	strict	12297977	3920987	16218964	75.82467659463329	24.175323405366704
SRR28476494	neg	relaxed	36545515	2941491	39487006	92.55073681706838	7.44926318293162
SRR28476494	neg	strict	13263504	3128050	16391554	80.9166964889357	19.083303511064294
SRR28476495	neg	relaxed	37697228	3726003	41423231	91.00504014281262	8.994959857187384
SRR28476495	neg	strict	12661124	3675515	16336639	77.50140037984558	22.498599620154426
SRR28476496	pos	relaxed	21192412	1620518	22812930	92.89649334828977	7.103506651710236
SRR28476496	pos	strict	7596176	1806606	9402782	80.78647362025409	19.213526379745907
SRR28476497	neg	relaxed	28980456	2878051	31858507	90.96614602812366	9.033853971876335
SRR28476497	neg	strict	9153517	2545589	11699106	78.24116646177922	21.758833538220784
SRR28476498	neg	relaxed	60892081	4243464	65135545	93.4851792519737	6.514820748026289
SRR28476498	neg	strict	24060628	4961820	29022448	82.90350972461042	17.096490275389588
SRR28476499	pos	relaxed	67578495	6745327	74323822	90.92440778947025	9.075592210529754
SRR28476499	pos	strict	23194016	8178264	31372280	73.93155996312669	26.068440036873316
SRR28476500	pos	relaxed	21321039	1799530	23120569	92.21675729520325	7.783242704796755
SRR28476500	pos	strict	5717206	1687206	7404412	77.21350459698893	22.78649540301107
SRR28476501	neg	relaxed	61508611	7200917	68709528	89.51976936881302	10.480230631186988
SRR28476501	neg	strict	23553496	9060995	32614491	72.21788621505698	27.782113784943018
SRR28476502	neg	relaxed	61483982	5472154	66956136	91.82725538403231	8.172744615967684
SRR28476502	neg	strict	22390036	6396041	28786077	77.78078270269339	22.21921729730661
SRR28476504	neg	relaxed	75036400	2940393	77976793	96.22914345810554	3.7708565418944584
SRR28476504	neg	strict	32999401	3415271	36414672	90.62116775348134	9.378832246518655
SRR28476505	pos	relaxed	70947516	3406330	74353846	95.41875749103819	4.581242508961809
SRR28476505	pos	strict	29641362	3814219	33455581	88.59915480170558	11.40084519829442
SRR28476506	neg	relaxed	48371197	4829304	53200501	90.92244638823983	9.07755361176016
SRR28476506	neg	strict	17381858	5722287	23104145	75.23263899183458	24.76736100816542
SRR28476507	neg	relaxed	48553743	4706195	53259938	91.1637242236369	8.83627577636309
SRR28476507	neg	strict	16591818	5446123	22037941	75.28751438258229	24.712485617417705
SRR28476508	pos	relaxed	77645633	4680432	82326065	94.31476288827845	5.685237111721543
SRR28476508	pos	strict	33295324	5903486	39198810	84.9396295448765	15.06037045512351
SRR28476510	pos	relaxed	36325081	3424509	39749590	91.38479415762528	8.615205842374726
SRR28476510	pos	strict	12709075	3988805	16697880	76.11190761941037	23.888092380589633
SRR28476511	pos	relaxed	51974229	5049027	57023256	91.14567046118867	8.854329538811323
SRR28476511	pos	strict	17431013	5831515	23262528	74.93172281189732	25.068277188102687
