sample	tb_group	mode	pct	clade_reads	taxon_reads	rank_code	taxid	name
SRR28476459	neg	relaxed	NA	4881	4879	S	87883	Burkholderia multivorans
SRR28476459	neg	relaxed	NA	651	583	S	95486	Burkholderia cenocepacia
SRR28476459	neg	relaxed	NA	648	648	S	60552	Burkholderia vietnamiensis
SRR28476459	neg	relaxed	NA	606	606	S	152480	Burkholderia ambifaria
SRR28476459	neg	relaxed	NA	419	125	S	292	Burkholderia cepacia
SRR28476459	neg	relaxed	NA	183	77	S	101571	Burkholderia ubonensis
SRR28476459	neg	relaxed	NA	173	173	S	488732	Burkholderia diffusa
SRR28476459	neg	relaxed	NA	139	139	S	482957	Burkholderia lata
SRR28476459	neg	relaxed	NA	95	95	S	60550	Burkholderia pyrrocinia
SRR28476459	neg	relaxed	NA	75	75	S	488447	Burkholderia contaminans
SRR28476459	neg	relaxed	NA	71	71	S	1503054	Burkholderia stagnalis
SRR28476459	neg	relaxed	NA	62	62	S	1207504	Burkholderia pseudomultivorans
SRR28476459	neg	relaxed	NA	47	47	S	95485	Burkholderia stabilis
SRR28476459	neg	relaxed	NA	29	29	S	179879	Burkholderia anthina
SRR28476459	neg	relaxed	NA	27	27	S	152500	Burkholderia dolosa
SRR28476459	neg	relaxed	NA	23	23	S	488446	Burkholderia latens
SRR28476459	neg	relaxed	NA	12	12	S	488729	Burkholderia metallica
SRR28476459	neg	relaxed	NA	3	3	S	488731	Burkholderia seminalis
SRR28476459	neg	relaxed	NA	3	3	S	1503055	Burkholderia territorii
SRR28476459	neg	relaxed	NA	3610	1364	S	28450	Burkholderia pseudomallei
SRR28476460	neg	relaxed	NA	1341211	1339898	S	1747	Cutibacterium acnes
SRR28476460	neg	relaxed	NA	15017	15017	S	33011	Cutibacterium granulosum
SRR28476460	neg	relaxed	NA	656	656	S	2559073	Cutibacterium modestum
SRR28476460	neg	relaxed	NA	559	559	S	33010	Cutibacterium avidum
SRR28476460	neg	relaxed	NA	105	105	S	3016342	Cutibacterium equinum
SRR28476460	neg	relaxed	NA	1896	1896	S	1750	Arachnia propionica
SRR28476460	neg	relaxed	NA	15	15	S	1547448	Arachnia rubra
SRR28476460	neg	relaxed	NA	271	271	S	119981	Propionibacterium australiense
SRR28476460	neg	relaxed	NA	27	27	S	1744	Propionibacterium freudenreichii
SRR28476460	neg	relaxed	NA	6	6	S	556499	Propionibacterium acidifaciens
SRR28476460	neg	relaxed	NA	101	101	S	630515	Microlunatus soli
SRR28476460	neg	relaxed	NA	99	99	S	546874	Microlunatus sagamiharensis
SRR28476460	neg	relaxed	NA	37	37	S	2596828	Microlunatus elymi
SRR28476460	neg	relaxed	NA	11	0	S	29405	Microlunatus phosphovorus
SRR28476460	neg	relaxed	NA	143	143	S	1748	Acidipropionibacterium acidipropionici
SRR28476460	neg	relaxed	NA	98	98	S	2057246	Acidipropionibacterium virtanenii
SRR28476460	neg	relaxed	NA	13	13	S	1749	Acidipropionibacterium jensenii
SRR28476460	neg	relaxed	NA	107	107	S	2775081	Propioniciclava soli
