sample	group	strict	relaxed	delta
SRR1313288	ctl	6.391877062206612	5.89131926423526	0.5005577979713527
SRR1313289	ctl	11.975639781483986	9.597720797941415	2.377918983542571
SRR1313290	ctl	6.341412323752298	5.809813454314186	0.5315988694381115
SRR1313291	ctl	5.349477345515337	6.161782994187623	-0.8123056486722868
SRR1313292	ctl	5.9812464653593125	5.807938007556301	0.17330845780301107
SRR1313293	ctl	11.417253189131719	8.667278154848539	2.74997503428318
SRR1313294	ctl	4.9907119219555405	6.1723894116411175	-1.181677489685577
SRR1313295	ctl	6.145408747758043	6.627696373223306	-0.48228762546526305
SRR1313296	cvd	9.47800561582542	7.179913162239844	2.2980924535855767
SRR1313297	cvd	8.787590583280714	8.31381307526004	0.47377750802067453
SRR1313298	cvd	7.901117600493664	6.258278596458604	1.6428390040350598
SRR1313299	cvd	7.580558901508687	5.240127330152074	2.3404315713566133
SRR1313300	cvd	9.311215149104877	6.126573550462375	3.184641598642502
SRR1313301	cvd	6.927202553951202	5.076265889719935	1.8509366642312663
SRR1313302	cvd	5.477039359810955	4.390455799980579	1.086583559830376
SRR1313303	cvd	8.99277435492105	5.967902485199477	3.024871869721573
